feature,importance
sensor_20_mean_5,0.003994851210180368
sensor_8_mean_5,0.004214042104537792
sensor_13_mean_5,0.004956172551189177
sensor_3_mean_5,0.005051747130036207
sensor_12_mean_5,0.0058047504919706006
sensor_2_mean_5,0.006286268921862885
sensor_21_mean_5,0.006740440631024359
sensor_9,0.012172674804459854
sensor_7_mean_5,0.012631915792648414
sensor_14_mean_5,0.01526725954640715
sensor_15_mean_5,0.019903904514128122
sensor_9_mean_5,0.028814454080605116
sensor_11_mean_5,0.06750373478910186
cycle,0.13981645106366472
sensor_4_mean_5,0.5951077393349598
